epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.807,0.90457,2.62016,1.18059,0.02661,0.20979,0.03063,0.01103,1.61673,4.06719,1.29589,0.06733,0.00033,0.00033
2,1230.95,0.68444,2.25709,1.03512,0.18006,0.8,0.16808,0.13263,0.98469,2.57409,0.70255,0.0343169,0.000650199,0.000650199
3,1889.84,0.63352,2.13231,1.01534,0.09982,1,0.15647,0.11637,1.07549,2.34107,0.69274,0.00129053,0.000957199,0.000957199
4,2549.76,0.58018,2.073,1.00485,0.09979,1,0.16049,0.14591,0.49339,2.37327,0.34824,0.0009406,0.0009406,0.0009406
5,3048.83,0.56959,2.0396,0.98623,0.10858,1,0.19521,0.17113,0.63518,2.19463,0.38696,0.0009208,0.0009208,0.0009208
6,3235.17,0.51745,1.99468,0.96915,0.09985,1,0.23735,0.21642,0.48465,2.0537,0.27428,0.000901,0.000901,0.000901
7,3422.69,0.47547,1.95667,0.96193,0.19743,0.84643,0.24565,0.23056,0.41407,2.01191,0.25912,0.0008812,0.0008812,0.0008812
8,3611.29,0.47814,1.8955,0.95614,0.17744,0.73623,0.30761,0.28141,0.52256,1.94431,0.33118,0.0008614,0.0008614,0.0008614
9,3798.93,0.43892,1.83397,0.94778,0.19109,0.99444,0.35371,0.32529,0.38945,1.68649,0.26937,0.0008416,0.0008416,0.0008416
10,3986.32,0.4227,1.78263,0.94401,0.20295,0.98235,0.40469,0.38469,0.34835,1.648,0.22993,0.0008218,0.0008218,0.0008218
11,4168.37,0.42299,1.75299,0.9452,0.2484,0.91954,0.41936,0.38092,0.48763,1.56163,0.27622,0.000802,0.000802,0.000802
12,4251.84,0.43503,1.73153,0.94451,0.22712,0.94608,0.41274,0.369,0.51014,1.59929,0.29493,0.0007822,0.0007822,0.0007822
13,4334.4,0.41039,1.71487,0.93578,0.30297,0.95055,0.5078,0.489,0.33775,1.49713,0.23403,0.0007624,0.0007624,0.0007624
14,4443.77,0.37582,1.68568,0.93132,0.28594,0.97216,0.52507,0.50815,0.30241,1.37845,0.19926,0.0007426,0.0007426,0.0007426
15,4518.47,0.38622,1.66614,0.92718,0.26859,0.96258,0.52393,0.51239,0.25367,1.32262,0.17144,0.0007228,0.0007228,0.0007228
16,4592.61,0.36989,1.64826,0.92879,0.30285,0.92151,0.55091,0.53032,0.29979,1.26304,0.1888,0.000703,0.000703,0.000703
17,4668.92,0.3685,1.62508,0.9274,0.30892,0.98392,0.56111,0.56111,0.23321,1.2573,0.14776,0.0006832,0.0006832,0.0006832
18,4742.69,0.37277,1.59875,0.9341,0.34009,0.9584,0.59939,0.59187,0.26214,1.22609,0.17591,0.0006634,0.0006634,0.0006634
